targetId,comparatorId,outcomeId,outcomeName,type
862,867,376707,Acute conjunctivitis,outcome
862,867,378424,Astigmatism,outcome
862,867,381581,Chalazion,outcome
862,867,134438,Contact dermatitis,outcome
862,867,201606,Crohn's disease,outcome
862,867,260134,Croup,outcome
862,867,196456,Gallstone,outcome
862,867,4166231,Genetic predisposition,outcome
862,867,441788,Human papilloma virus infection,outcome
862,867,140480,Impetigo,outcome
862,867,139099,Ingrowing nail,outcome
862,867,75576,Irritable bowel syndrome,outcome
862,867,4134455,Mononeuropathy,outcome
862,867,4215978,Onychomycosis,outcome
862,867,140648,Onychomycosis due to dermatophyte,outcome
862,867,4091513,Passing flatus,outcome
862,867,4112731,Polyp of intestine,outcome
862,867,4234533,Tonsillitis,outcome
862,867,81893,Ulcerative colitis,outcome
862,867,140641,Verruca vulgaris,outcome
862,867,260427,Common cold,outcome
862,867,379019,Conjunctivitis,outcome
862,867,4332246,Aneurysm,outcome
862,867,432585,Blood coagulation disorder,outcome
862,867,195588,Cystitis,outcome
862,867,77310,Deep vein phlebitis and thrombophlebitis of the leg,outcome
862,867,4010658,Difficulty passing urine,outcome
862,867,440674,Gout,outcome
862,867,4078925,Pulmonary edema,outcome
862,867,378416,Retinal disorder,outcome
862,867,138455,Stomatitis,outcome
877,862,376707,Acute conjunctivitis,outcome
877,862,378424,Astigmatism,outcome
877,862,381581,Chalazion,outcome
877,862,134438,Contact dermatitis,outcome
877,862,201606,Crohn's disease,outcome
877,862,260134,Croup,outcome
877,862,196456,Gallstone,outcome
877,862,4166231,Genetic predisposition,outcome
877,862,441788,Human papilloma virus infection,outcome
877,862,140480,Impetigo,outcome
877,862,139099,Ingrowing nail,outcome
877,862,75576,Irritable bowel syndrome,outcome
877,862,4134455,Mononeuropathy,outcome
877,862,4215978,Onychomycosis,outcome
877,862,140648,Onychomycosis due to dermatophyte,outcome
877,862,4091513,Passing flatus,outcome
877,862,4112731,Polyp of intestine,outcome
877,862,4234533,Tonsillitis,outcome
877,862,81893,Ulcerative colitis,outcome
877,862,140641,Verruca vulgaris,outcome
877,862,260427,Common cold,outcome
877,862,379019,Conjunctivitis,outcome
877,862,4332246,Aneurysm,outcome
877,862,432585,Blood coagulation disorder,outcome
877,862,195588,Cystitis,outcome
877,862,77310,Deep vein phlebitis and thrombophlebitis of the leg,outcome
877,862,4010658,Difficulty passing urine,outcome
877,862,440674,Gout,outcome
877,862,4078925,Pulmonary edema,outcome
877,862,378416,Retinal disorder,outcome
877,862,138455,Stomatitis,outcome
872,862,376707,Acute conjunctivitis,outcome
872,862,378424,Astigmatism,outcome
872,862,381581,Chalazion,outcome
872,862,134438,Contact dermatitis,outcome
872,862,201606,Crohn's disease,outcome
872,862,260134,Croup,outcome
872,862,196456,Gallstone,outcome
872,862,4166231,Genetic predisposition,outcome
872,862,441788,Human papilloma virus infection,outcome
872,862,140480,Impetigo,outcome
872,862,139099,Ingrowing nail,outcome
872,862,75576,Irritable bowel syndrome,outcome
872,862,4134455,Mononeuropathy,outcome
872,862,4215978,Onychomycosis,outcome
872,862,140648,Onychomycosis due to dermatophyte,outcome
872,862,4091513,Passing flatus,outcome
872,862,4112731,Polyp of intestine,outcome
872,862,4234533,Tonsillitis,outcome
872,862,81893,Ulcerative colitis,outcome
872,862,140641,Verruca vulgaris,outcome
872,862,260427,Common cold,outcome
872,862,379019,Conjunctivitis,outcome
872,862,4332246,Aneurysm,outcome
872,862,432585,Blood coagulation disorder,outcome
872,862,195588,Cystitis,outcome
872,862,77310,Deep vein phlebitis and thrombophlebitis of the leg,outcome
872,862,4010658,Difficulty passing urine,outcome
872,862,440674,Gout,outcome
872,862,4078925,Pulmonary edema,outcome
872,862,378416,Retinal disorder,outcome
872,862,138455,Stomatitis,outcome
877,872,376707,Acute conjunctivitis,outcome
877,872,378424,Astigmatism,outcome
877,872,381581,Chalazion,outcome
877,872,134438,Contact dermatitis,outcome
877,872,201606,Crohn's disease,outcome
877,872,260134,Croup,outcome
877,872,196456,Gallstone,outcome
877,872,4166231,Genetic predisposition,outcome
877,872,441788,Human papilloma virus infection,outcome
877,872,140480,Impetigo,outcome
877,872,139099,Ingrowing nail,outcome
877,872,75576,Irritable bowel syndrome,outcome
877,872,4134455,Mononeuropathy,outcome
877,872,4215978,Onychomycosis,outcome
877,872,140648,Onychomycosis due to dermatophyte,outcome
877,872,4091513,Passing flatus,outcome
877,872,4112731,Polyp of intestine,outcome
877,872,4234533,Tonsillitis,outcome
877,872,81893,Ulcerative colitis,outcome
877,872,140641,Verruca vulgaris,outcome
877,872,260427,Common cold,outcome
877,872,379019,Conjunctivitis,outcome
877,872,4332246,Aneurysm,outcome
877,872,432585,Blood coagulation disorder,outcome
877,872,195588,Cystitis,outcome
877,872,77310,Deep vein phlebitis and thrombophlebitis of the leg,outcome
877,872,4010658,Difficulty passing urine,outcome
877,872,440674,Gout,outcome
877,872,4078925,Pulmonary edema,outcome
877,872,378416,Retinal disorder,outcome
877,872,138455,Stomatitis,outcome
917,887,376707,Acute conjunctivitis,outcome
917,887,378424,Astigmatism,outcome
917,887,381581,Chalazion,outcome
917,887,134438,Contact dermatitis,outcome
917,887,201606,Crohn's disease,outcome
917,887,260134,Croup,outcome
917,887,196456,Gallstone,outcome
917,887,4166231,Genetic predisposition,outcome
917,887,441788,Human papilloma virus infection,outcome
917,887,140480,Impetigo,outcome
917,887,139099,Ingrowing nail,outcome
917,887,75576,Irritable bowel syndrome,outcome
917,887,4134455,Mononeuropathy,outcome
917,887,4215978,Onychomycosis,outcome
917,887,140648,Onychomycosis due to dermatophyte,outcome
917,887,4091513,Passing flatus,outcome
917,887,4112731,Polyp of intestine,outcome
917,887,4234533,Tonsillitis,outcome
917,887,81893,Ulcerative colitis,outcome
917,887,140641,Verruca vulgaris,outcome
917,887,260427,Common cold,outcome
917,887,379019,Conjunctivitis,outcome
917,887,4332246,Aneurysm,outcome
917,887,432585,Blood coagulation disorder,outcome
917,887,195588,Cystitis,outcome
917,887,77310,Deep vein phlebitis and thrombophlebitis of the leg,outcome
917,887,4010658,Difficulty passing urine,outcome
917,887,440674,Gout,outcome
917,887,4078925,Pulmonary edema,outcome
917,887,378416,Retinal disorder,outcome
917,887,138455,Stomatitis,outcome
